file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
plugins/org.eclipse.fordiac.ide.systemimport/src/org/eclipse/fordiac/ide/systemimport/SystemImport.java,2,70,11,0,3,0,8,0,2,0,5,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0
plugins/org.eclipse.fordiac.ide.systemmanagement.ui/src/org/eclipse/fordiac/ide/systemmanagement/ui/handlers/DeleteResourceHandler.java,2,30,3,0,0,0,2,0,1,0,1,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0
plugins/org.eclipse.fordiac.ide.model/src/org/eclipse/fordiac/ide/model/IdentifierVerifyer.java,2,51,0,9,0,9,0,6,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.deployment/src/org/eclipse/fordiac/ide/deployment/exceptions/CreateFBInstanceException.java,2,7,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.model.commands/src/org/eclipse/fordiac/ide/model/commands/change/ChangeFBNetworkElementName.java,2,32,10,2,3,0,1,2,1,2,0,0,1,0,0,0,1,2,3,0,2,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.model.commands/src/org/eclipse/fordiac/ide/model/commands/delete/DeleteVersionInfoCommand.java,2,27,3,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.gef/src/org/eclipse/fordiac/ide/gef/editparts/NameCellEditorLocator.java,2,29,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.model/src-gen/org/eclipse/fordiac/ide/model/Palette/util/PaletteAdapterFactory.java,2,101,1,1,0,1,2,1,0,0,1,0,1,1,0,0,0,1,10,9,11,0,1,0,0,0
plugins/org.eclipse.fordiac.ide.application/src/org/eclipse/fordiac/ide/application/commands/LinkConstraints.java,2,278,54,7,18,7,6,7,0,0,25,7,0,0,0,0,12,1,0,0,32,0,8,0,0,0
plugins/org.eclipse.fordiac.ide.model.edit/src-gen/org/eclipse/fordiac/ide/model/libraryElement/provider/AlgorithmsItemProvider.java,2,40,3,1,0,0,2,1,0,1,4,0,1,0,0,0,4,0,1,0,1,0,4,0,0,0
plugins/org.eclipse.fordiac.ide.model/src-gen/org/eclipse/fordiac/ide/model/libraryElement/impl/ValueImpl.java,2,74,1,1,0,0,1,1,0,1,6,0,0,0,1,0,3,0,3,0,0,1,7,0,0,0
plugins/org.eclipse.fordiac.ide.fbtypeeditor.network/src/org/eclipse/fordiac/ide/fbtypeeditor/network/CompositeNetworkEditor.java,2,173,25,1,5,1,11,1,4,0,5,0,1,1,1,0,16,1,14,3,5,0,4,1,0,0
plugins/org.eclipse.fordiac.ide.model/src-gen/org/eclipse/fordiac/ide/model/libraryElement/VersionInfo.java,2,14,0,66,0,0,0,0,0,0,0,8,0,0,0,1,0,25,0,10,0,25,0,0,0,0
plugins/org.eclipse.fordiac.ide.systemmanagement.ui/src/org/eclipse/fordiac/ide/systemmanagement/ui/wizard/NewApplicationWizard.java,2,69,11,0,2,0,7,0,2,0,6,0,0,0,0,0,6,0,0,0,6,0,4,0,0,0
plugins/org.eclipse.fordiac.ide.model.commands/src/org/eclipse/fordiac/ide/model/commands/create/AddNewVersionInfoCommand.java,2,34,8,1,0,0,0,1,0,1,1,0,0,0,0,0,3,1,0,0,3,0,1,0,0,0
plugins/org.eclipse.fordiac.ide.model/src-gen/org/eclipse/fordiac/ide/model/libraryElement/impl/AdapterEventImpl.java,2,80,8,1,6,0,1,1,0,1,7,0,1,0,1,0,3,0,8,0,3,1,7,0,0,0
plugins/org.eclipse.fordiac.ide.util/src/org/eclipse/fordiac/ide/util/comm/channels/tcp/TCPCommThread.java,2,30,6,1,1,0,5,1,0,1,1,0,1,0,0,0,4,0,0,0,5,1,0,0,0,0
plugins/org.eclipse.fordiac.ide.model.edit/src-gen/org/eclipse/fordiac/ide/model/libraryElement/provider/ResourceTypeFBItemProvider.java,2,40,6,1,3,0,1,1,0,1,0,0,1,0,0,0,1,0,5,0,0,1,0,0,0,0
plugins/org.eclipse.fordiac.ide.fbtypeeditor.ecc/src/org/eclipse/fordiac/ide/fbtypeeditor/ecc/properties/StateSection.java,2,199,26,0,1,0,17,0,9,0,0,0,1,0,0,0,11,0,5,0,0,0,5,0,0,0
plugins/org.eclipse.fordiac.ide.model/src/org/eclipse/fordiac/ide/model/typelibrary/CreateAdapterTypePaletteEntry.java,2,19,1,0,0,0,1,0,0,0,1,0,0,0,2,0,3,0,2,0,1,0,2,0,0,0
plugins/org.eclipse.fordiac.ide.fbtypeeditor.ecc/src/org/eclipse/fordiac/ide/fbtypeeditor/ecc/preferences/PreferenceInitializer.java,2,18,1,0,1,0,2,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0
plugins/org.eclipse.fordiac.ide.fbtypeeditor.network/src/org/eclipse/fordiac/ide/fbtypeeditor/network/viewer/CompositeInternalInterfaceEditPartRO.java,2,26,4,0,2,0,3,1,1,0,0,0,2,1,0,0,2,1,4,1,1,0,0,0,0,0
plugins/org.eclipse.fordiac.ide.resourceediting/src/org/eclipse/fordiac/ide/resourceediting/editparts/InterfaceEditPartForResourceFBs.java,2,57,7,0,2,0,6,2,2,1,0,0,1,0,0,0,3,0,3,0,2,1,0,0,0,0
plugins/org.eclipse.fordiac.ide.fbtypeeditor.servicesequence/src/org/eclipse/fordiac/ide/fbtypeeditor/servicesequence/editparts/ConnectingConnectionEditPart.java,2,17,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
