file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/config/XmlConfiguration.java,1,274,26,2,13,0,7,2,1,2,23,0,1,0,0,0,5,2,1,0,1,0,14,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/filters/NodeIdFilter.java,1,23,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/runtime/AbstractRuntimeContext.java,1,16,0,0,0,0,0,2,0,0,0,0,0,2,1,0,3,0,2,0,3,0,0,8,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/model/event/ModelChangeEvent.java,1,36,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,3,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/runtime/StandaloneRuntimeContext.java,1,34,4,0,0,0,5,0,3,0,1,0,1,0,0,0,5,0,1,0,0,0,5,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/config/ConfigurationException.java,1,16,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/command/DefaultArgumentResolver.java,1,49,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/model/AbstractGuiModel.java,1,41,1,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,9,0,4,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/arch/format/DefaultElementFormatter.java,1,36,3,1,1,0,2,1,0,1,1,0,0,0,1,0,4,1,2,0,3,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/filters/NodeNameFilter.java,1,23,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/runtime/RuntimeContextFactory.java,1,48,0,16,0,8,0,8,0,0,0,8,0,0,0,0,0,8,0,0,2,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/CorePlugin.java,1,197,20,2,6,1,5,1,0,0,17,1,0,0,2,0,8,1,11,0,4,0,11,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/resources/IResourceLocator.java,1,16,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,7,0,1,0,3,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/logging/EclipseErrorLogger.java,1,8,2,0,1,0,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/filters/NodeVisibilityFilter.java,1,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/AbstractNodeWalker.java,1,20,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,3,0,0,3,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/logging/AbstractReporter.java,1,154,10,7,1,4,2,3,1,0,5,3,0,1,1,0,1,2,17,1,4,0,15,14,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/config/AbstractConfiguration.java,1,175,2,9,1,1,2,2,0,0,2,0,0,1,1,0,1,0,22,1,0,0,3,2,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/Utils.java,1,157,19,45,2,45,2,9,0,0,15,69,0,0,0,0,3,7,0,0,2,0,13,22,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/logging/IErrorLogger.java,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,0,6,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/command/CLArgumentProcessor.java,1,270,58,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/command/ArgumentResolver.java,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/runtime/EclipseRuntimeContext.java,1,35,3,0,0,0,5,0,3,0,2,0,1,0,0,0,6,0,1,0,0,0,6,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/resources/DefaultResourceLocator.java,1,88,4,3,2,2,1,2,0,1,2,0,0,1,1,0,0,1,7,5,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/LoggingService.java,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/model/event/ModelEvent.java,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/runtime/IRuntimeContext.java,1,11,0,9,0,0,1,0,0,0,0,0,0,0,0,1,4,7,0,4,0,9,0,0,0,0
