file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
tests/org.eclipse.acceleo.parser.tests/src-gen/org/eclipse/acceleo/parser/tests/extlibrary/impl/AudioVisualItemImpl.java,1,123,7,10,6,8,1,2,0,0,16,0,1,2,1,0,2,0,12,10,0,0,16,0,0,0
plugins/org.eclipse.acceleo.parser/src-gen/org/eclipse/acceleo/parser/cst/Query.java,1,9,0,11,0,0,0,0,0,0,0,4,1,0,0,1,0,7,0,5,1,10,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/builders/AcceleoBuilder.java,1,216,15,0,1,0,5,1,7,0,9,3,0,0,0,0,4,1,0,0,7,0,8,3,0,0
plugins/org.eclipse.acceleo.model/src-gen/org/eclipse/acceleo/model/mtl/impl/MtlPackageImpl.java,1,640,0,1,0,1,2,1,0,0,72,0,0,0,1,0,22,0,66,0,0,0,78,0,0,0
plugins/org.eclipse.acceleo.parser/src/org/eclipse/acceleo/internal/parser/ast/IASTProvider.java,1,10,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6,0,4,0,0,0,0
plugins/org.eclipse.acceleo.common/src/org/eclipse/acceleo/common/internal/utils/workspace/AcceleoDeltaVisitor.java,1,47,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src-gen/org/eclipse/acceleo/internal/ide/ui/builders/runner/CreateRunnableAntCallWriter.java,1,39,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/editors/template/AcceleoConfiguration.java,1,123,25,1,0,0,14,1,12,1,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0
tests/org.eclipse.acceleo.engine.tests/src/org/eclipse/acceleo/engine/tests/unit/evaluation/AcceleoEvaluationVisitorLetBlockTest.java,1,198,115,0,0,0,3,1,0,0,9,1,1,0,0,0,5,0,0,0,16,0,33,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/editors/template/AcceleoOutlinePageItemProvider.java,1,192,24,1,3,0,3,1,0,1,36,0,0,0,0,0,7,0,0,0,17,0,22,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src-gen/org/eclipse/acceleo/internal/ide/ui/wizards/newproject/CreateModuleUIPluginXMLWriter.java,1,44,7,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/debug/model/AcceleoLineBreakpointAdapter.java,1,104,6,1,0,1,4,2,1,1,2,1,0,0,0,0,3,0,0,0,3,0,2,0,0,0
plugins/org.eclipse.acceleo.model/src-gen/org/eclipse/acceleo/model/mtl/impl/ModuleImpl.java,1,131,0,2,0,0,0,2,0,0,27,0,0,1,1,0,4,1,4,0,0,1,23,0,0,0
plugins/org.eclipse.acceleo.parser/src-gen/org/eclipse/acceleo/parser/cst/impl/InitSectionImpl.java,1,131,0,1,0,0,0,1,0,1,18,0,0,0,1,0,3,0,5,0,0,1,17,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/wizards/newfile/AcceleoNewTemplatesWizard.java,1,176,16,3,6,1,7,2,1,0,10,0,0,1,0,0,3,1,0,3,4,0,4,0,0,0
tests/org.eclipse.acceleo.engine.tests/src/org/eclipse/acceleo/engine/tests/unit/environment/AcceleoNonStandardLibraryParsedTest.java,1,87,3,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/editors/template/AcceleoOutlinePage.java,1,105,5,2,0,0,6,2,3,1,1,0,0,0,0,0,2,0,0,0,3,2,1,0,0,0
tests/org.eclipse.acceleo.engine.tests/src-gen/Listeners/GenerationTest/Listeners/AbstractClass.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tests/org.eclipse.acceleo.ide.ui.tests/src/org/eclipse/acceleo/ide/ui/tests/suite/AllTests.java,1,17,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
examples/org.eclipse.acceleo.examples/src/org/eclipse/acceleo/examples/internal/AcceleoExamplesMessages.java,1,26,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
plugins/org.eclipse.acceleo.model/src/org/eclipse/acceleo/model/mtl/resource/EMtlResourceImpl.java,1,96,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
plugins/org.eclipse.acceleo.engine/src/org/eclipse/acceleo/engine/service/AcceleoDynamicTemplatesRegistry.java,1,58,1,1,1,1,1,1,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0
plugins/org.eclipse.acceleo.parser/src-gen/org/eclipse/acceleo/parser/cst/impl/ModuleImportsValueImpl.java,1,120,0,1,0,0,0,1,0,1,16,0,0,0,1,0,2,0,6,0,0,1,16,0,0,0
plugins/org.eclipse.acceleo.engine/src/org/eclipse/acceleo/engine/internal/evaluation/AcceleoEvaluationVisitor.java,1,737,164,62,38,2,8,9,18,1,29,2,0,0,0,0,22,3,0,0,43,1,9,0,1,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/editors/template/AcceleoSourceContent.java,1,641,121,43,4,0,15,13,5,1,25,0,1,1,0,0,21,2,1,1,42,6,16,0,0,0
plugins/org.eclipse.acceleo.engine/src/org/eclipse/acceleo/engine/internal/debug/IDebugAST.java,1,7,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,4,4,2,0,0,0,0
plugins/org.eclipse.acceleo.model/src-gen/org/eclipse/acceleo/model/mtl/MtlPackage.java,1,423,1,7,1,0,1,0,0,0,0,445,0,0,0,1,0,30,0,66,0,2,0,516,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/ide/ui/wizards/newfile/example/IAcceleoExampleStrategy.java,1,10,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,10,0,4,0,2,0,0
tests/org.eclipse.acceleo.tests/src/org/eclipse/acceleo/tests/suite/AllTests.java,1,27,0,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.acceleo.model/src-gen/org/eclipse/acceleo/model/mtl/impl/BlockImpl.java,1,119,1,55,0,40,1,9,0,1,16,0,1,8,1,0,3,0,4,48,4,1,16,0,0,0
plugins/org.eclipse.acceleo.common/src/org/eclipse/acceleo/common/library/connector/IQuery.java,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
plugins/org.eclipse.acceleo.model/src-gen/org/eclipse/acceleo/model/mtl/Macro.java,1,9,0,11,0,0,0,0,0,0,0,3,2,0,0,1,0,8,0,3,0,20,0,0,0,0
plugins/org.eclipse.acceleo.parser/src-gen/org/eclipse/acceleo/parser/cst/ModelExpression.java,1,11,0,15,0,0,0,0,0,0,0,5,1,0,0,1,0,17,0,8,0,127,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/editors/template/AcceleoTemplateReconcilingStrategy.java,1,172,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/ide/ui/resources/AcceleoProject.java,1,326,3,39,3,0,2,11,0,15,10,0,0,0,0,0,3,11,0,0,0,13,7,0,0,0
plugins/org.eclipse.acceleo.model/src/org/eclipse/acceleo/model/mtl/impl/spec/FileBlockSpec.java,1,36,3,0,0,0,2,1,0,1,1,0,1,0,0,0,3,1,1,0,2,0,1,0,0,0
plugins/org.eclipse.acceleo.parser/src-gen/org/eclipse/acceleo/parser/cst/util/CstSwitch.java,1,396,0,1,0,0,0,2,0,0,24,0,0,1,0,0,24,0,0,27,47,1,24,0,0,0
plugins/org.eclipse.acceleo.common/src/org/eclipse/acceleo/common/library/connector/AbstractLibrary.java,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
plugins/org.eclipse.acceleo.ide.ui/src/org/eclipse/acceleo/internal/ide/ui/wizards/newfile/AcceleoNewTemplatesWizardPage.java,1,52,11,4,10,0,4,5,1,1,5,4,0,0,0,0,3,0,0,0,1,4,1,4,0,0
tests/org.eclipse.acceleo.parser.tests/src-gen/org/eclipse/acceleo/parser/tests/extlibrary/Writer.java,1,7,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,8,0,3,0,12,0,0,0,0
tests/org.eclipse.acceleo.parser.tests/src/org/eclipse/acceleo/parser/tests/cst/utils/SequenceTests.java,1,34,21,0,0,0,3,2,13,0,1,2,0,0,0,0,3,2,0,0,2,0,1,0,0,0
