file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
org.eclipse.emf.emfstore.standalone.core/src/org/eclipse/emf/emfstore/standalone/core/artifacts/ArtifactRegistry.java,1,59,7,40,5,20,2,9,0,0,5,20,0,0,0,0,1,9,0,0,2,0,0,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/bug/impl/BugFactoryImpl.java,1,91,3,1,2,1,3,1,1,0,8,0,0,0,1,0,5,0,2,0,4,0,6,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/document/LeafSection.java,1,7,0,408,0,0,0,0,0,0,0,7,1,0,0,1,1,23,0,2,0,379,0,0,0,0
org.eclipse.emf.emfstore.server.model.edit/src/org/eclipse/emf/emfstore/server/model/provider/VersionInfoItemProvider.java,1,69,1,1,0,0,1,1,0,1,4,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0
org.eclipse.emf.emfstore.client.ui/src/org/eclipse/emf/emfstore/client/ui/dialogs/merge/conflict/conflicts/CompositeConflict.java,1,59,36,2,1,0,8,1,3,2,5,0,1,0,0,0,10,1,3,0,4,0,4,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/bug/util/BugSwitch.java,1,68,0,1,0,0,0,2,0,0,2,0,0,1,0,0,6,0,0,6,7,1,2,0,0,0
org.eclipse.emf.emfstore.server.model/src/org/eclipse/emf/emfstore/server/model/versioning/events/Event.java,1,7,0,4,0,0,0,0,0,0,0,4,0,1,0,1,0,11,0,2,0,5,0,0,0,0
org.eclipse.emf.emfstore.modelgenerator.common/src/org/eclipse/emf/emfstore/modelgenerator/common/attribute/AttributeSetterEDouble.java,1,21,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/profile/impl/ProfilePackageImpl.java,1,332,40,33,0,1,16,17,0,0,72,0,0,0,1,0,41,16,23,0,17,16,81,0,0,0
org.eclipse.emf.emfstore.client.ui/src/org/eclipse/emf/emfstore/client/ui/handlers/CreateLocalProjectHandler.java,1,9,3,0,0,0,3,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
org.eclipse.emf.emfstore.server.model.edit/src/org/eclipse/emf/emfstore/server/model/versioning/operations/provider/MultiAttributeSetOperationItemProvider.java,1,89,10,1,3,0,1,1,0,1,7,0,1,0,0,0,2,0,5,0,0,1,6,0,0,0
org.eclipse.emf.emfstore.server/src/org/eclipse/emf/emfstore/server/core/AbstractEmfstoreInterface.java,1,96,11,113,2,0,6,12,2,0,1,0,0,4,0,0,7,8,0,3,14,10,0,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/activity/impl/ActivityObjectImpl.java,1,107,7,5,6,0,1,5,0,0,19,0,1,5,1,0,4,0,9,5,0,0,17,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/component/DeploymentNode.java,1,6,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,6,0,1,0,3,0,0,0,0
org.eclipse.emf.emfstore.server.model/src/org/eclipse/emf/emfstore/server/model/versioning/events/util/EventsSwitch.java,1,44,0,1,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,2,3,1,2,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/rationale/RationalePackage.java,1,174,1,11,1,0,1,0,0,0,102,465,0,0,0,1,1,38,0,25,0,6,102,495,0,0
org.eclipse.emf.emfstore.server/src/org/eclipse/emf/emfstore/server/filetransfer/FileChunk.java,1,35,3,11,0,0,1,8,0,1,0,1,0,0,0,0,1,7,0,0,3,8,0,0,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/requirement/RequirementPackage.java,1,350,1,9,1,0,1,0,0,0,180,626,0,0,0,1,2,43,0,70,0,4,180,701,0,0
org.eclipse.emf.emfstore.client.test/src/org/eclipse/emf/emfstore/client/test/model/classes/util/ClassesAdapterFactory.java,1,123,1,1,0,1,2,1,0,0,1,0,1,1,0,0,10,1,12,10,13,0,1,0,0,0
org.eclipse.emf.emfstore.standalone.ui/src/org/eclipse/emf/emfstore/standalone/ui/ArtifactDisposeListener.java,1,44,4,1,2,0,3,1,0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
