file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/scripts/repository/impl/UpdateRepositoryJob.java,1,91,15,6,0,0,4,2,2,1,0,0,0,0,0,0,2,0,0,0,8,1,0,0,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/modules/ui/ModulesFilter.java,1,53,5,1,0,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
plugins/org.eclipse.ease.modules.modeling/src/org/eclipse/ease/modules/modeling/UMLModule.java,1,53,5,2,1,1,2,1,0,0,2,0,1,1,0,0,4,0,1,1,2,0,0,0,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/scripts/ui/ScriptComposite.java,1,121,15,6,3,0,7,3,3,3,10,0,0,0,1,0,8,2,1,0,7,2,5,0,0,0
plugins/org.eclipse.ease.lang.javascript.rhino/src/org/eclipse/ease/lang/javascript/rhino/completion/RhinoCompletionProvider.java,1,39,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/console/actions/ShowWhenContentChangesAction.java,1,52,1,4,1,0,1,3,0,0,2,0,0,2,0,0,2,1,0,2,0,2,1,0,0,0
plugins/org.eclipse.ease.lang.javascript.rhino/src/org/eclipse/ease/lang/javascript/rhino/BundleProxyClassLoader.java,1,40,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
plugins/org.eclipse.ease.modules.modeling/src/org/eclipse/ease/modules/modeling/GMFtoEMFCommandWrapper.java,1,68,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/preferences/IPreferenceConstants.java,1,27,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,7,0,0,0,0,0,67,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/modules/ui/ModuleContributionFactory.java,1,68,11,0,0,0,5,0,3,0,5,0,0,0,0,0,5,0,0,0,8,0,4,0,0,0
plugins/org.eclipse.ease.lang.javascript.rhino.debugger/src/org/eclipse/ease/lang/javascript/rhino/debugger/Activator.java,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.ease/src/org/eclipse/ease/debugging/ScriptDebugElement.java,1,100,16,15,0,0,2,8,0,0,0,0,0,6,0,0,0,0,0,10,7,2,0,0,0,0
plugins/org.eclipse.ease.ui/src/org/eclipse/ease/ui/propertytester/ScriptEnginePropertyTester.java,1,16,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.ease.lang.javascript.rhino.debugger/src/org/eclipse/ease/lang/javascript/rhino/debugger/RhinoDebugger.java,1,124,10,1,1,0,5,1,0,1,0,0,1,0,1,0,5,0,6,0,5,1,4,0,0,0
