file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/NameXPtg.java,1,47,9,6,8,4,3,10,0,2,5,1,1,0,1,0,4,10,5,0,2,5,1,1,0,0
org.eclipse.jubula.tools/src/org/eclipse/jubula/tools/constants/TestDataConstants.java,1,21,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,27,0,0,0,0,0,55,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/usermodel/HeaderFooter.java,1,159,0,8,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,6,0,1,0,12,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/model/GuiNode.java,1,153,4,332,0,4,0,107,0,0,3,0,0,9,0,0,2,75,0,31,6,290,3,0,0,0
org.eclipse.jubula.tools/src/org/eclipse/jubula/tools/utils/generator/ActionInfo.java,1,64,10,25,1,0,6,8,1,2,1,0,1,0,0,0,3,7,0,0,5,11,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/ss/formula/CollaboratingWorkbooksEnvironment.java,1,111,6,2,5,2,2,2,2,0,0,3,0,0,0,0,0,1,0,0,9,2,0,2,0,0
org.eclipse.jubula.tools/src/org/eclipse/jubula/tools/utils/generator/ComponentInfo.java,1,53,7,37,1,0,4,11,0,6,1,0,1,0,0,0,2,9,0,0,6,29,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/constant/ConstantValueParser.java,1,116,23,7,20,7,5,2,2,0,13,7,0,0,0,0,4,2,0,0,8,0,2,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/actions/ShowServerLogAction.java,1,52,7,0,4,0,7,0,1,0,5,0,1,0,0,0,7,0,3,0,2,0,2,0,0,0
org.eclipse.jubula.rc.swt/src/org/eclipse/jubula/rc/swt/implclasses/ListImplClass.java,1,276,98,0,29,0,22,0,6,0,39,0,1,0,2,0,15,0,5,0,11,0,16,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/function/FunctionMetadataRegistry.java,1,42,2,9,2,8,2,7,0,1,1,10,0,0,0,0,0,5,0,0,3,0,0,2,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/persistence/locking/DbGuardPO.java,1,18,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/handlers/GoToNextTestResultErrorHandler.java,1,22,4,0,1,0,3,0,1,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/eval/RefEvalBase.java,1,15,0,8,0,6,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/dialogs/FindDialog.java,1,397,15,6,5,0,7,1,1,2,30,0,0,0,0,0,9,1,0,0,5,1,25,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/SeriesChartGroupIndexRecord.java,1,54,5,0,5,0,4,0,0,0,4,0,1,0,0,0,2,0,5,0,1,0,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/functions/Varpa.java,1,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jubula.rc.common/src/org/eclipse/jubula/rc/common/implclasses/tree/AbstractSelectTreeNodeOperation.java,1,15,1,2,1,0,3,1,0,0,1,0,1,1,0,0,2,0,1,1,2,0,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/functions/N.java,1,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/controllers/propertysources/OMLogicNameGUIPropertySource.java,1,130,30,1,6,0,19,1,6,1,14,0,4,0,0,0,14,1,10,0,9,0,10,0,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/model/IComponentNameData.java,1,10,0,58,0,0,1,0,0,0,0,0,0,1,0,0,1,7,0,3,0,9,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/handlers/DeleteTestresultsHandler.java,1,36,5,0,3,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/model/IEventStackModificationListener.java,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,4,0,0,0,0
