file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
org.eclipse.virgo.kernel.deployer/src/main/java/org/eclipse/virgo/kernel/management/ManagementExporter.java,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.virgo.kernel.shell/src/test/java/org/eclipse/virgo/kernel/shell/internal/AnnotationBasedCommandResolverTests.java,1,50,5,0,5,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
org.eclipse.virgo.repository/src/test/java/org/eclipse/virgo/repository/internal/chain/ChainedRepositoryTests.java,1,87,20,0,0,0,2,0,5,0,11,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0
org.eclipse.virgo.kernel.deployer/src/main/java/org/eclipse/virgo/kernel/install/pipeline/stage/resolve/internal/ResolveStage.java,1,63,11,1,0,0,2,1,1,1,0,0,0,0,2,0,12,1,1,0,9,0,0,0,1,1
org.eclipse.virgo.teststubs.osgi/src/test/java/org/eclipse/virgo/teststubs/osgi/framework/OSGiAssertTests.java,1,58,11,0,9,0,3,0,2,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
org.eclipse.virgo.kernel.shell/src/test/java/org/eclipse/virgo/kernel/shell/internal/commands/StubAbstractCompositeInstallArtifactBasedCommands.java,1,8,1,1,0,0,3,1,2,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
org.eclipse.virgo.web.test/src/test/java/org/eclipse/virgo/web/test/SimpleWebOsgiApplicationIntegrationTest.java,1,14,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.virgo.kernel.deployer/src/main/java/org/eclipse/virgo/kernel/deployer/core/event/ApplicationDeploying.java,1,7,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
org.eclipse.virgo.util.common/src/main/java/org/eclipse/virgo/util/common/ObjectUtils.java,1,512,0,120,0,120,0,3,0,0,0,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.virgo.medic/src/main/java/org/eclipse/virgo/medic/eventlog/LogEvent.java,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.virgo.repository/src/test/java/org/eclipse/virgo/repository/internal/external/ExternalArtifactStoreTests.java,1,27,5,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0
org.eclipse.virgo.test.test/src/test/java/org/eclipse/virgo/test/test/BundleDependenciesTests.java,1,26,1,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
org.eclipse.virgo.kernel.shell/src/main/java/org/eclipse/virgo/kernel/shell/internal/commands/ShutdownCommand.java,1,32,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
org.eclipse.virgo.kernel.core/src/test/java/org/eclipse/virgo/kernel/core/internal/CoreBundleActivatorTests.java,1,52,8,0,2,0,7,0,5,0,7,0,1,0,1,0,9,0,3,0,6,0,4,0,1,1
org.eclipse.virgo.apps.admin.core/src/main/java/org/eclipse/virgo/apps/admin/core/StateHolder.java,1,12,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,16,0,5,0,0,1,1
org.eclipse.virgo.kernel.deployer/src/main/java/org/eclipse/virgo/kernel/install/artifact/internal/RefreshException.java,1,11,2,1,0,0,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
org.eclipse.virgo.repository/src/main/java/org/eclipse/virgo/repository/internal/cacheing/cache/descriptorhash/ArtifactDescriptorHash.java,1,6,0,15,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,3,0,4,0,0,0,0
org.eclipse.virgo.apps.admin.web/src/test/java/org/eclipse/virgo/apps/admin/web/stubs/StubDumpListFormatterUtil.java,1,9,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0
