Blocking Bug ID,Blocked Bug ID,Dependency of Blocking Bug,Dependency of Blocked Bug
500362,481796,Call,Import+Call+Typed
500714,481796,Call,Import+Call+Typed
429641,427082,,Use+Call
413592,406786,,
413592,407985,,
406786,407985,,
36032,108020,,
36032,118789,,
360789,430303,Import+Call,Import
318437,430303,Import,Import
320170,292478,,
32219,32138,,
292478,133125,Override+Call+DotRef,Use+Create
345305,385415,DotRef+Use+Call,DotRef+Call
529992,534302,,
529992,534301,,
529992,533654,,
476237,477403,,
476237,477404,,
476237,477730,,
476237,477723,,
476237,477731,,
476237,477249,,
476237,477396,,
476237,477729,,
477721,476237,Extend,
362095,333920,,Import+Call
520300,522286,Extend+Call+Import+Create,Create
520300,522353,Extend+Call+Import+Create,
520300,522562,Extend+Call+Import+Create,DotRef+Call+Typed
520300,522592,Extend+Call+Import+Create,
520300,522593,Extend+Call+Import+Create,Use+Override
527593,224708,Override+DotRef,
310789,302295,Call,DotRef+Call
5188,484036,Call,
483065,5188,,Call
434305,433649,,
434301,433649,,
434305,433649,,
436061,429459,,DotRed+Call
399745,397217,,
399745,397856,,
399745,400654,,
399745,398618,,
259737,265447,,Call+DotRef
290726,252242,Extend+Call+DotRef,Call+DotRef
373245,232019,,Override+DorRef+Call
373245,243447,,
373245,269331,,
373245,368841,,Call
304995,244124,DotRef+Call,Create+DotRef+Call
244124,290593,Create+DotRef+Call,
305017,244124,,Create+DotRef+Call
517574,478541,,
520730,534482,,
441483,423300,,
423300,425318,,
441483,425318,,
385161,382710,,
385177,382710,,
389418,389416,,Implement
389418,389421,,Implement+Call+Override
389416,330647,Implement,Import
352217,327204,,
384962,382712,Call+DotRef,
385264,382712,,
330776,333646,,Import
333641,322132,,
394769,394687,,
394770,394687,Couple,
394769,394770,,Couple
248309,236850,,
91938,85950,Typed,
91938,82949,Typed,
432614,417801,Typed+Create+Use,Typed
432614,446442,Typed+Create+Use,Typed+Extend+Implement+Override+Create
446442,417801,Typed,Typed
425134,427082,Implement,Use
425134,423123,Implement,Implement+Call
425134,400905,Implement,Implement+Call
496142,481796,,Import+Call+Typed
318437,430303,Import,Import
164449,248864,Call,
44984,107496,Import,Import
500362,481796,Call,Import+Call+Typed
507061,507063,Call,
440764,440630,,Call+Typed
488649,488672,Typed+Call,Typed
440773,440630,Extend,Call+Typed
499655,506014,Override,
445231,466675,Extend,
238090,233259,,
215481,210830,,Call
162045,161927,,
529822,506149,,Import
526386,506149,,Import
515504,515496,,
515504,515534,,Call
515534,515496,Call,
507060,507061,Call,
110173,98154,Use,Call
508079,507966,,
20793,177796,Typed,
416911,419811,,
345305,386181,DotRef+Use+Call,Call
566122,566120,,
102279,182346,DotRec+Call,
102279,187227,DotRec+Call,
102780,227098,,
494001,497263,DotRef+Use,
434763,438826,,
345277,343543,,
105254,105008,Call,
496017,497360,,
321041,522635,Extend+Call,
263893,263897,Call,
263893,322288,Call,
315349,321998,Import,
67046,62862,Call,Call
533654,534302,,
436435,440653,Import+Couple+Call,
439095,448495,Call,
342670,344142,Call,Call
327538,327204,,
350853,363295,,
378006,373554,,Call
487935,490206,,
117020,111501,Use,Call+Typed
152641,154115,Use,Call
153887,154115,,Call
154233,154115,,Call
194358,235253,Call+Import,Import+Call
343380,343361,,
6746,6640,,
80800,83100,Call,Call+Create
431139,431144,Call,
431139,431145,Call,
90612,88774,,
94403,88774,,
9503,366400,,
96237,119857,Typed,Couple
475131,475176,Call,Couple+Call
431390,427803,Call,
474688,465328,,
474672,465328,,
429794,425561,,Call
423037,427803,,
475131,477963,Call,
423037,423052,,
477963,479752,,Call
474828,465328,,
383875,378006,,
383876,378006,,
327538,329487,,Call
568037,540987,,
497518,481796,,Import+Call+Typed
342458,342670,,Call
568037,539778,,Call
372351,220928,Implement,Call+Use
508215,509027,Call+Create+Use,Use
22164,24723,Create+DotRef,
73352,222902,,
222902,227730,,
201265,202428,Call,Call
471578,370540,,
370540,491731,,
16036,38736,Extend+Implement+Couple,Call
426537,448791,Call+Typed,
288143,288122,Override,
466675,461101,,
388795,388739,Implement+Override,Extend+Override+Call+Typed
388739,383966,Extend+Override+Call+Typed,Extend+Override
304193,286955,,
427077,421806,,
282121,282122,,
527576,526831,,
175570,177571,Use,Use
79112,77121,Call+CallNondynamic+DotRef,
85946,99683,,
303108,295638,,Call+CallNondynamic+DotRef
313965,313890,Call,Call
237742,267833,,Call+Use
382470,381192,,
541217,526339,Implement+Call+DotRef+Create,DotRef+CallNondynamic+Typed
496129,481796,,Import+Call+Typed
289057,305116,,Call
41228,36352,,Override
225594,225950,,
218603,96685,Call,
539998,540119,,
539998,539894,,
539896,539893,Couple,Couple
539998,539895,,
539998,539896,,Couple
559681,551616,,
560081,559681,,
54072,126584,,
185453,180193,,
507795,495062,,
462954,458208,,Call
161400,139798,Call,Call
215980,308608,,
232920,546302,,
519330,519167,,Override
87362,87174,Typed,Call+DotRef
457089,430303,Import,Import
358846,349390,,Call+Typed
148944,151112,Call+Extend,
148944,176210,Call+Extend,
148944,142048,Call+Extend,
532505,536990,,Call+DotRef
148944,148657,Call+Extend,
456861,456750,,
458804,552146,,
434791,368354,Call+CallNondynamic+DotRef,Call+CallNondynamic+DotRef
458804,560305,,
530188,528031,Call,CallNondynamic+DotRef
203058,89301,,CallNondynamic+DotRef
407191,392384,,Call
415399,409235,,
355181,345479,,
36896,49007,,
36896,50175,,
36896,42381,,
280497,276707,Call,
73676,70631,Override+Extend+Typed,Override
506376,506638,,
428863,426260,,
550345,545796,,
247941,247433,Call,Call
354181,345479,,
416912,416904,,
464229,467745,Call+Implement+Typed,Call
211588,210521,,
211588,210524,,
146015,142528,,Call
415943,401776,,
202470,7005,Typed,Call
202470,204551,Typed,
202470,201718,Typed,
202470,177655,Typed,
23492,22560,,Typed
124117,127898,,
185377,185332,,
427754,404648,,Call
549855,553111,,
185928,188650,,Call
185928,188650,Create+Call,
507109,530508,DotRef+CallNondynamic+Import,
310330,360997,,
389423,389416,Implement,Implement
475580,470460,,
474501,421595,,Couple
477325,421595,,Couple
415311,405057,Call,
415311,413614,Call,
300302,296271,,Call+Extend
477217,479726,CallNondynamic+DotRef,
515032,490695,,
483870,478602,Import,Import
